provider_id,workload_hours,stress_level,absenteeism_days,satisfaction_score,burnout_risk
P000507,46,8,2,1,58
P000508,38,10,5,1,56
P000509,60,7,4,10,40
P000510,43,6,2,10,29
P000511,49,8,4,1,63
P000512,59,10,1,1,70
P000513,47,7,3,10,28
P000514,51,9,3,10,44
P000515,45,8,4,1,63
P000516,53,10,0,1,62
P000517,60,8,2,1,63
P000518,46,10,3,10,41
P000519,60,9,0,10,45
P000520,51,7,2,10,36
P000521,42,6,2,10,18
P000522,37,8,4,1,51
P000523,39,6,0,10,23
P000524,56,7,4,10,41
P000525,48,7,0,1,55
P000526,60,7,2,10,34
P000527,58,6,4,1,62
P000528,34,7,2,10,17
P000529,51,9,5,10,45
P000530,53,8,1,10,35
P000531,46,7,3,1,53
P000532,55,7,2,1,41
P000533,43,9,3,1,52
P000534,46,10,3,10,37
P000535,46,7,4,10,20
P000536,54,8,2,10,29
P000537,50,7,2,10,31
P000538,55,7,3,1,48
P000539,37,6,1,10,17
P000540,41,7,1,10,20
P000541,60,7,2,10,19
P000542,43,8,4,10,21
P000543,53,6,5,10,31
P000544,60,7,2,10,38
P000545,60,7,0,1,67
P000546,48,7,3,10,40
P000547,53,8,2,1,68
P000548,51,9,5,1,62
P000549,60,8,2,1,70
P000550,60,8,1,10,46
P000551,41,10,3,10,34
P000552,45,8,1,10,26
P000553,51,8,2,10,37
P000554,56,6,1,10,37
P000555,33,9,4,10,29
P000556,46,8,4,1,62
P000557,50,8,2,10,33
P000558,46,6,3,10,17
P000559,57,6,1,10,33
P000560,51,9,7,1,79
P000561,60,7,0,10,24
P000562,52,10,2,10,39
P000563,41,6,2,1,43
P000564,60,8,3,10,42
P000565,52,10,3,1,70
P000566,60,8,2,10,36
P000567,39,6,1,10,23
P000568,36,6,3,10,16
P000569,46,7,4,10,29
P000570,56,9,1,10,36
P000571,44,8,2,1,55
P000572,43,9,5,10,40
P000573,54,6,2,10,26
P000574,59,7,2,10,40
P000575,49,8,4,10,38
P000576,57,10,5,10,49
P000577,48,9,4,10,26
P000578,57,7,3,1,57
P000579,48,7,4,10,28
P000580,49,6,2,1,40
P000581,51,6,2,10,30
P000582,60,6,4,10,39
P000583,57,7,1,10,43
P000584,57,10,2,10,43
P000585,43,6,4,10,26
P000586,37,9,3,1,55
P000587,37,9,3,10,25
P000588,50,7,1,1,52
P000589,42,6,1,1,50
P000590,50,9,3,1,60
P000591,39,10,2,1,54
P000592,49,10,2,10,47
P000593,49,6,5,10,28
P000594,52,8,4,1,57
P000595,39,8,4,10,32
P000596,60,9,3,10,49
P000597,60,6,1,10,29
P000598,41,7,4,10,27
P000599,32,9,3,10,24
P000600,34,8,2,10,18
P000601,35,7,2,10,18
P000602,54,6,4,10,33
P000603,60,6,3,1,61
P000604,60,9,2,1,65
P000605,50,10,6,10,51
P000606,59,10,1,10,39
P000607,40,9,3,10,22
P000608,60,6,3,1,66
P000609,42,8,4,10,30
P000610,53,7,2,10,35
P000611,42,8,1,10,28
P000612,50,8,2,10,35
P000613,55,9,1,10,50
P000614,50,8,1,10,38
P000615,44,7,3,1,46
P000616,46,6,2,10,24
P000617,52,10,3,1,60
P000618,51,10,4,10,42
P000619,38,6,2,10,14
P000620,43,8,3,10,22
P000621,51,6,0,1,54
P000622,60,6,3,10,41
P000623,34,8,1,10,20
P000624,60,6,5,10,43
P000625,47,6,4,1,55
P000626,46,9,5,10,33
P000627,42,7,1,10,22
P000628,50,8,3,10,33
P000629,38,6,2,10,13
P000630,60,6,3,1,45
P000631,53,9,2,1,66
P000632,50,6,3,10,31
P000633,56,8,4,10,44
P000634,48,9,4,10,37
P000635,50,7,2,1,53
P000636,50,9,1,1,48
P000637,48,10,3,1,73
P000638,58,6,6,10,45
P000639,60,6,3,1,57
P000640,54,10,4,1,74
P000641,42,8,1,1,52
P000642,56,8,7,1,71
P000643,51,6,2,1,62
P000644,59,7,4,10,39
P000645,50,9,5,10,34
P000646,60,9,1,1,65
P000647,49,7,1,10,29
P000648,43,8,2,10,33
P000649,48,10,1,10,35
P000650,53,7,4,1,51
P000651,46,6,3,1,53
P000652,60,7,3,1,64
P000653,53,6,1,10,33
P000654,40,7,1,1,48
P000655,31,8,3,1,48
P000656,55,10,2,10,41
P000657,55,9,4,10,46
P000658,50,10,3,1,68
P000659,60,7,3,10,42
P000660,49,6,0,10,31
P000661,45,7,2,10,27
P000662,60,6,1,1,57
P000663,60,7,1,1,54
P000664,30,9,3,1,53
P000665,46,10,2,10,32
P000666,56,10,3,10,40
P000667,60,10,4,10,43
P000668,60,10,3,10,49
P000669,60,9,4,10,46
P000670,42,7,0,10,31
P000671,60,7,3,1,60
P000672,60,6,3,10,32
P000673,52,10,3,10,42
P000674,39,7,3,10,26
P000675,49,8,3,10,31
P000676,54,8,4,10,43
P000677,40,6,4,10,28
P000678,52,10,5,10,41
P000679,51,8,4,10,27
P000680,47,6,5,1,49
P000681,47,7,2,10,40
P000682,45,7,4,10,28
P000683,52,7,1,10,30
P000684,54,8,9,1,66
P000685,50,6,3,10,22
P000686,56,8,4,10,46
P000687,52,6,3,10,36
P000688,46,7,1,10,26
P000689,54,7,5,1,62
P000690,49,9,3,1,56
P000691,46,10,5,10,35
P000692,51,8,3,1,54
P000693,48,7,4,10,38
P000694,60,10,6,10,50
P000695,48,6,6,10,32
P000696,41,7,2,1,47
P000697,43,7,4,1,37
P000698,50,6,2,10,27
P000699,51,6,1,1,47
P000700,55,8,4,10,46
P000701,45,8,3,10,35
P000702,52,6,2,10,35
P000703,50,10,3,10,45
P000704,59,6,2,10,41
P000705,50,6,3,10,26
P000706,60,7,5,10,38
P000707,38,9,2,10,31
P000708,41,10,4,1,59
P000709,43,10,3,10,40
P000710,48,6,4,10,27
P000711,60,7,5,10,46
P000712,60,10,1,10,49
P000713,52,8,0,10,30
P000714,41,7,2,1,51
P000715,50,6,1,10,28
P000716,55,8,0,10,34
P000717,59,10,4,10,42
P000718,45,7,1,1,39
P000719,49,6,3,1,52
P000720,54,9,5,10,45
P000721,58,6,1,1,61
P000722,47,6,4,1,53
P000723,37,10,0,10,23
P000724,54,6,7,1,58
P000725,39,9,3,10,26
P000726,44,9,1,1,53
P000727,60,7,2,10,42
P000728,59,6,4,10,36
P000729,35,10,1,10,32
P000730,48,9,3,1,63
P000731,36,6,2,1,47
P000732,60,10,3,1,64
P000733,56,10,4,10,51
P000734,50,6,2,10,18
P000735,46,9,1,1,62
P000736,48,7,2,1,51
P000737,40,10,3,10,34
P000738,48,7,3,1,45
P000739,49,7,0,10,29
P000740,45,8,2,10,27
P000741,53,9,2,10,45
P000742,38,7,2,1,48
P000743,44,6,4,10,29
P000744,49,8,3,1,63
P000745,50,7,3,10,31
P000746,52,6,2,10,23
P000747,50,10,4,10,39
P000748,49,8,5,10,30
P000749,60,10,0,10,48
P000750,50,8,4,1,59
P000751,52,7,3,10,42
P000752,57,8,3,10,37
P000753,45,9,2,10,28
P000754,35,7,1,1,46
P000755,47,10,7,10,44
P000756,44,6,2,1,50
P000757,51,10,6,10,41
P000758,44,6,3,10,27
P000759,38,6,1,10,15
P000760,40,8,5,10,32
P000761,56,6,5,10,33
P000762,58,7,3,10,42
P000763,57,7,1,10,50
P000764,42,6,6,10,23
P000765,57,7,3,10,44
P000766,58,10,1,10,37
P000767,52,8,2,10,43
P000768,53,7,2,1,52
P000769,35,6,2,1,31
P000770,52,9,2,10,34
P000771,43,8,0,1,41
P000772,37,8,3,1,45
P000773,49,7,2,10,33
P000774,53,7,0,1,50
P000775,55,10,2,1,77
P000776,60,7,4,10,35
P000777,38,10,5,1,65
P000778,40,6,2,1,38
P000779,41,6,2,10,16
P000780,42,7,2,1,54
P000781,42,9,1,10,36
P000782,37,8,2,10,29
P000783,35,7,3,1,36
P000784,50,10,1,1,70
P000785,51,10,2,10,42
P000786,48,8,1,10,29
P000787,46,9,2,10,34
P000788,59,7,3,1,50
P000789,47,10,4,10,34
P000790,38,10,1,1,63
P000791,42,7,2,1,46
P000792,36,7,0,10,18
P000793,60,6,2,1,46
P000794,53,6,0,10,24
P000795,54,10,2,10,45
P000796,44,10,3,1,56
P000797,59,6,2,10,36
P000798,55,7,0,1,50
P000799,46,6,0,1,50
P000800,45,8,4,1,58
P000801,58,8,1,1,60
P000802,48,9,1,10,32
P000803,58,7,0,10,39
P000804,51,6,0,10,31
P000805,48,6,7,1,60
P000806,60,9,6,10,49
P000807,54,8,2,10,28
P000808,55,9,0,10,38
P000809,43,9,2,1,55
P000810,47,7,2,10,35
P000811,37,10,1,1,64
P000812,60,9,5,1,71
P000813,36,8,3,1,41
P000814,43,6,0,10,20
P000815,58,9,1,1,65
P000816,41,8,1,1,46
P000817,58,9,1,10,42
P000818,40,9,3,1,59
P000819,46,7,1,10,31
P000820,60,7,4,1,72
P000821,57,6,5,10,41
P000822,41,10,0,1,62
P000823,59,7,1,10,29
P000824,55,6,5,1,54
P000825,40,7,4,10,32
P000826,45,10,0,1,57
P000827,42,8,0,10,17
P000828,55,10,3,1,72
P000829,41,9,3,10,27
P000830,60,6,3,1,60
P000831,43,9,2,10,28
P000832,54,9,2,10,42
P000833,54,7,1,1,56
P000834,51,8,1,10,27
P000835,56,8,3,1,61
P000836,50,9,2,1,61
P000837,55,9,3,10,44
P000838,49,10,8,1,65
P000839,55,10,2,10,37
P000840,38,7,2,1,50
P000841,46,8,1,10,22
P000842,59,7,1,1,52
P000843,46,10,2,10,46
P000844,58,7,4,10,38
P000845,49,6,5,1,47
P000846,50,9,3,10,34
P000847,46,7,1,10,30
P000848,40,9,4,10,43
P000849,41,9,4,1,61
P000850,50,7,3,1,53
P000851,47,6,2,10,21
P000852,55,9,0,10,41
P000853,60,10,3,1,70
P000854,53,10,0,1,67
P000855,40,8,2,10,18
P000856,50,7,3,10,35
P000857,60,10,2,1,79
P000858,51,6,1,1,40
P000859,55,7,4,10,49
P000860,55,9,0,1,54
P000861,48,10,4,1,65
P000862,42,10,5,1,62
P000863,35,6,1,1,36
P000864,51,7,4,1,57
P000865,46,6,3,10,25
P000866,54,9,1,1,69
P000867,44,6,2,10,24
P000868,43,8,1,10,34
P000869,44,6,1,10,19
P000870,47,7,1,10,36
P000871,60,9,5,1,73
P000872,41,7,0,1,46
P000873,56,6,3,10,32
P000874,60,10,2,10,45
P000875,58,7,2,10,32
P000876,50,10,2,1,72
P000877,47,10,3,1,64
P000878,55,7,1,10,36
P000879,36,7,2,1,42
P000880,46,6,2,10,32
P000881,46,7,5,1,63
P000882,53,9,2,1,55
P000883,40,6,0,10,23
P000884,46,9,2,10,43
P000885,50,6,3,10,30
P000886,55,8,3,10,38
P000887,54,10,3,10,39
P000888,44,9,0,10,30
P000889,54,7,5,10,35
P000890,39,7,5,1,44
P000891,49,9,0,10,39
P000892,55,9,4,1,67
P000893,59,10,1,1,69
P000894,45,9,1,10,40
P000895,38,9,3,10,41
P000896,53,9,5,10,47
P000897,46,9,2,10,39
P000898,57,8,2,10,39
P000899,39,6,2,10,23
P000900,41,10,5,1,67
P000901,52,9,2,1,66
P000902,52,9,4,10,42
P000903,60,6,4,10,44
P000904,53,8,4,1,60
P000905,47,6,2,10,32
P000906,43,7,0,10,26
P000907,46,9,2,10,39
P000908,51,10,4,1,63
P000909,60,7,3,10,41
P000910,47,8,5,10,36
P000911,47,9,1,1,62
P000912,50,6,1,1,56
P000913,51,9,3,10,32
P000914,44,8,3,10,30
P000915,58,7,3,10,38
P000916,55,9,2,10,37
P000917,60,10,4,1,77
P000918,57,7,1,10,43
P000919,41,9,2,1,68
P000920,43,9,1,1,61
P000921,60,6,1,1,53
P000922,51,9,1,10,31
P000923,46,10,1,10,35
P000924,50,10,3,1,64
P000925,56,7,0,10,32
P000926,41,10,1,1,64
P000927,59,9,6,1,64
P000928,43,7,5,1,46
P000929,47,10,1,10,39
P000930,54,7,3,10,35
P000931,51,9,2,10,42
P000932,44,8,2,10,23
P000933,43,9,2,10,42
P000934,58,10,4,1,70
P000935,50,8,0,10,29
P000936,56,9,2,1,74
P000937,40,6,3,10,28
P000938,52,7,1,1,61
P000939,52,6,2,1,53
P000940,53,7,2,1,62
P000941,36,6,1,10,30
P000942,55,7,2,1,55
P000943,39,9,1,1,52
P000944,56,10,5,10,57
P000945,50,7,3,10,30
P000946,42,9,1,1,44
P000947,37,9,4,10,33
P000948,60,9,2,1,64
P000949,45,8,1,10,34
P000950,47,6,1,10,21
P000951,31,9,5,1,49
P000952,52,7,4,1,61
P000953,52,8,0,10,27
P000954,39,7,4,1,52
P000955,45,10,2,1,65
P000956,53,8,2,1,57
P000957,41,8,3,1,50
P000958,44,7,8,10,34
P000959,56,8,0,10,38
P000960,51,7,1,10,25
P000961,55,8,3,1,72
P000962,52,10,2,10,30
P000963,44,6,3,10,24
P000964,50,7,4,10,45
P000965,43,6,3,1,51
P000966,54,8,2,10,39
P000967,58,9,1,1,63
P000968,55,9,4,10,34
P000969,44,10,2,10,46
P000970,49,6,3,10,40
P000971,45,8,1,10,25
P000972,55,8,1,10,43
P000973,36,7,1,1,40
P000974,60,6,2,10,42
P000975,52,7,5,10,46
P000976,58,7,3,10,38
P000977,54,7,3,10,31
P000978,56,6,0,10,40
P000979,44,8,1,1,59
P000980,54,9,5,1,69
P000981,42,7,1,1,52
P000982,55,6,5,10,31
P000983,53,7,6,10,30
P000984,51,7,2,10,30
P000985,37,7,1,1,49
P000986,51,7,2,1,50
P000987,60,9,3,10,43
P000988,51,9,6,1,61
P000989,50,10,2,1,58
P000990,50,8,5,10,32
P000991,51,10,4,1,69
P000992,38,7,2,10,20
P000993,54,7,3,1,57
